accession	strain	subtype	date	host	host_common_name	location	region	passage_history	length
KF142474.1	A/Sao Paulo/13922/2013	H1N1	2013-03-04	Homo sapiens		Brazil	South America		1701
KF746647.1	A/Tambov/CRIE-56/2013	H1N1	2013-03-04	Homo sapiens		Russia	Europe		1701
KF142475.1	A/Sao Paulo/15835/2013	H1N1	2013-03-10	Homo sapiens		Brazil	South America		1701
KM366415.1	A/Helsinki/1229/2013	H1N1	2013-03-11	Homo sapiens		Finland	Europe		1752
OR873807.1	A/Kenya/CDC-Nakuru/010/2013	H1N1	2013-03-25	Homo sapiens		Kenya	Africa		1701
OR873809.1	A/Kenya/CDC-Nakuru/011/2013	H1N1	2013-03-27	Homo sapiens		Kenya	Africa		1701
MN250915.1	A/MUWRP-Uganda/371/2013	H1N1	2013-03-27	Homo sapiens		Uganda	Africa		1777
MT379358.1	A/swine/France/70-130144/2013	H1N1	2013-03-27	Sus scrofa		France	Europe	MDCK cells	1777
KY075822.1	A/Palestine/301/2013	H1N1	2013-03-30	Homo sapiens		State of Palestine	Asia		1701
KP144975.1	A/Jiangsusucheng/SWL1148/2013	H1N1	2013-04-08	Homo sapiens		China	Asia		1701
KP019880.1	A/QuanZhou/SWL184/2013	H1N1	2013-04-09	Homo sapiens		China: FuJian	Asia		1701
MN201100.1	A/swine/Western Australia/AS-13-1125-0016/2013	H1N1	2013-04-11	Sus scrofa		Australia: Western Australia	Oceania		1701
MN250883.1	A/MUWRP-Uganda/372/2013	H1N1	2013-04-20	Homo sapiens		Uganda	Africa		1779
KR863455.1	A/swine/Argentina/CIP051-C06-G3/2013	H1N1	2013-04-23	Sus scrofa		Argentina: Landeta, Santa Fe	South America		1721
KF037967.1	A/swine/Illinois/A01380195/2013	H1N1	2013-04-25	Sus scrofa		USA: Illinois	North America		1701
KP019888.1	A/ZhangZhou/SWL32/2013	H1N1	2013-05-20	Homo sapiens		China: FuJian	Asia		1701
PP600982.1	A/Mali/A_Mali-PERCH_012_2013/2013	H1N1	2013-05-27	Homo sapiens		Mali	Africa		1701
KF234481.1	A/swine/South Dakota/A01350778/2013	H1N2	2013-05-29	Sus scrofa		USA	North America		1698
OL370002.1	A/Pacific black duck/Tasmania/13-2165-11/2013	H1N1	2013-06-01	Anas superciliosa		Australia: Tasmania	Oceania		1701
KY926235.1	A/Nova Petropolis/LACENRS-1205/2013	H1N1	2013-06-07	Homo sapiens		Brazil	South America		1777
PP601021.1	A/South Africa/A_South-Africa-PERCH_016_2013/2013	H1N1	2013-06-11	Homo sapiens		South Africa	Africa		1701
KJ943050.1	A/Santiago/p13d1/2013	H1N1	2013-06-12	Homo sapiens		Chile: Puerto Montt	South America		1741
MT196053.1	A/Santiago/p17d1/2013	H1N1	2013-06-17	Homo sapiens		Chile: Santiago	South America		1719
PP601026.1	A/South Africa/A_South-Africa-PERCH_024_2013/2013	H1N1	2013-06-27	Homo sapiens		South Africa	Africa		1701
KY925389.1	A/Cachoeira do Sul/LACENRS-1828/2013	H1N1	2013-06-28	Homo sapiens		Brazil	South America		1777
KY925542.1	A/Rosario do Sul/LACENRS-1832/2013	H1N1	2013-06-28	Homo sapiens		Brazil	South America		1777
MK366967.1	A/swine/Ahaus/18137/2013	H1N1	2013-07-01	Sus scrofa		Germany: Ahaus	Europe		1777
KR863411.1	A/swine/Argentina/CIP051-C14-A2/2013	H1N1	2013-07-05	Sus scrofa		Argentina: Villa Amelia, Santa Fe	South America		1712
KY926328.1	A/Porto Alegre/LACENRS-2380/2013	H1N1	2013-07-15	Homo sapiens		Brazil	South America		1777
KY926309.1	A/Uruguaiana/LACENRS-2538/2013	H1N1	2013-07-18	Homo sapiens		Brazil	South America		1778
PX328995.1	A/New Zealand/13CF5139/2013	H1N1	2013-08	Homo sapiens		New Zealand	Oceania		1701
KF569208.1	A/swine/Illinois/A01244964/2013	H1N1	2013-08	Sus scrofa		USA: Illinois	North America		1701
KP027601.1	A/swine/Brazil/G3P1/2013	H1N1	2013-08-07	Sus scrofa		Brazil	South America		1777
KR863432.1	A/swine/Argentina/CIP051-C15-10590/2013	H1N1	2013-08-28	Sus scrofa		Argentina: Villa Amelia, Santa Fe	South America		1701
MN200954.1	A/swine/Victoria/13-1724-3/2013	H1N1	2013-08-29	Sus scrofa		Australia: Victoria	Oceania		1745
MN201036.1	A/swine/Victoria/13-1724-W1/2013	H1N1	2013-08-29	Sus scrofa		Australia: Victoria	Oceania		1701
PX334662.1	A/New Zealand/13CF5325/2013	H1N1	2013-09	Homo sapiens		New Zealand	Oceania		1701
PX331657.1	A/New Zealand/13CF5467/2013	H1N1	2013-09	Homo sapiens		New Zealand	Oceania		1701
KP019901.1	A/ZhangZhou/SWL1474/2013	H1N1	2013-09-02	Homo sapiens		China: FuJian	Asia		1701
MN201044.1	A/swine/Victoria/13-1788-1/2013	H1N1	2013-09-09	Sus scrofa		Australia: Victoria	Oceania		1701
MN200956.1	A/swine/Victoria/13-1871-2/2013	H1N1	2013-09-13	Sus scrofa		Australia: Victoria	Oceania		1745
PP600985.1	A/Mali/A_Mali-PERCH_022_2013/2013	H1N1	2013-09-16	Homo sapiens		Mali	Africa		1701
PX346220.1	A/New Zealand/13CF5931/2013	H1N1	2013-10	Homo sapiens		New Zealand	Oceania		1701
PP601005.1	A/Gambia/A_Gambia-PERCH_018_2013/2013	H1N1	2013-10-01	Homo sapiens		Gambia	Africa		1701
PP601009.1	A/Mali/A_Mali-PERCH_005_2013/2013	H1N1	2013-10-02	Homo sapiens		Mali	Africa		1701
KT274243.1	A/Illinois/04/2013	H1N1	2013-10-15	Homo sapiens		USA	North America		1701
MG254060.1	A/canine/Guangxi/HC18/2013	H1N1	2013-10-18			China	Asia		1701
PX343651.1	A/New Zealand/13HB5701/2013	H1N1	2013-11	Homo sapiens		New Zealand	Oceania		1701
KM409006.1	A/Texas/36/2013	H1N1	2013-11-18	Homo sapiens		USA	North America		1701
PX119786.1	A/swine/Zhejiang/109/2013	H1N1	2013-11-20	Sus scrofa		China: zhejiang	Asia		1701
KT274486.1	A/Alaska/30/2013	H1N1	2013-11-22	Homo sapiens		USA	North America		1701
MG254072.1	A/canine/Guangxi/LZ317/2013	H1N1	2013-11-23			China	Asia		1701
KJ154128.1	A/swine/Illinois/A01410011/2013	H1N1	2013-12	Sus scrofa		USA: Illinois	North America		1701
KJ130129.1	A/swine/Iowa/A01290905/2013	H1N1	2013-12	Sus scrofa		USA: Iowa	North America		1701
KJ645761.1	A/Gainesville/08/2013	H1N1	2013-12-04	Homo sapiens		USA	North America		1777
MK340069.1	A/swine/Ennigerloh/19386/2013	H1N2	2013-12-12	Sus scrofa		Germany: Ennigerloh	Europe		1778
KR863429.1	A/swine/Argentina/CIP051-C29-42/2013	H1N2	2013-12-13	Sus scrofa		Argentina: Roque Perez, Buenos Aires	South America		1716
MN200958.1	A/swine/Victoria/13-2493-112/2013	H1N1	2013-12-16	Sus scrofa		Australia: Victoria	Oceania		1733
MN201060.1	A/swine/Victoria/13-2493-124/2013	H1N1	2013-12-16	Sus scrofa		Australia: Victoria	Oceania		1701
MN200960.1	A/swine/Victoria/13-2493-NT78/2013	H1N1	2013-12-16	Sus scrofa		Australia: Victoria	Oceania		1745
KJ361917.1	A/swine/Illinois/A01427305/2013	H1N1	2013-12-23	Sus scrofa		USA	North America		1701
KP144974.1	A/Jiangsuquanshan/SWL11849/2013	H1N1	2013-12-30	Homo sapiens		China	Asia		1701
OR949188.1	A/duck/Ilan/14WB3030-15/2013	H1N3	2013-12-31	Anatidae		Taiwan: Ilan	Asia		1777
MH559891.1	A/swine/Brazil/060_14-1/2014	H1N1	2014-01	Sus scrofa		Brazil	South America		1777
KT274648.1	A/Nevada/02/2014	H1N1	2014-01-02	Homo sapiens		USA	North America		1701
KJ396005.1	A/British Columbia/03/2014	H1N1	2014-01-06	Homo sapiens		Canada: British Columbia	North America		1701
CY187276.1	A/Mississippi/3608/2014	H1N1	2014-01-06	Homo sapiens		USA: MS	North America	PMK1 passage(s)	1701
CY187322.1	A/South Dakota/3654/2014	H1N1	2014-01-06	Homo sapiens		USA: SD	North America	PMK1 passage(s)	1701
MG279487.1	A/Taiwan/00061/2014	H1N1	2014-01-06	Homo sapiens		Taiwan	Asia		1701
CY187370.1	A/Washington/3702/2014	H1N1	2014-01-12	Homo sapiens		USA: WA	North America	PMK1 passage(s)	1701
KJ396037.1	A/Quebec/18/2014	H1N1	2014-01-15	Homo sapiens		Canada: Quebec	North America		1701
CY187255.1	A/Korea/3587/2014	H1N1	2014-01-16	Homo sapiens		South Korea	Asia	PMK1 passage(s)	1701
KP864402.1	A/Quebec/20/2014	H1N1	2014-01-16	Homo sapiens		Canada: Quebec	North America		1777
CY187669.1	A/Japan/3751/2014	H1N1	2014-01-17	Homo sapiens		Japan	Asia	PMK1 passage(s)	1701
OR873811.1	A/Kenya/CDC-Nakuru/012/2014	H1N1	2014-01-22	Homo sapiens		Kenya	Africa		1701
KY241124.1	A/swine/France/50-140056/2014	H1N2	2014-01-24	Sus scrofa		France	Europe		1771
MT379054.1	A/swine/France/50-140056/2014	H1N2	2014-01-27	Sus scrofa		France	Europe	MDCK cells	1771
KJ417884.1	A/swine/Minnesota/A01491464/2014	H1N1	2014-01-27	Sus scrofa		USA: Minnesota	North America		1701
KM219199.1	A/Helsinki/303N/2014	H1N1	2014-02-02	Homo sapiens		Finland	Europe		1752
KM219207.1	A/Helsinki/383M/2014	H1N1	2014-02-05	Homo sapiens		Finland	Europe		1752
KM366623.1	A/Helsinki/439M/2014	H1N1	2014-02-07	Homo sapiens		Finland	Europe		1752
CY187672.1	A/Japan/3754/2014	H1N1	2014-02-07	Homo sapiens		Japan	Asia	PMK1 passage(s)	1701
LC033041.1	A/Niigata/13NU004/2014	H1N1	2014-02-10	Homo sapiens		Japan	Asia		1701
OR873714.1	A/Kenya/CDC-KNH/070/2014	H1N1	2014-02-12	Homo sapiens		Kenya	Africa		1701
KM366655.1	A/Helsinki/548M/2014	H1N1	2014-02-13	Homo sapiens		Finland	Europe		1752
KM366759.1	A/Helsinki/861N/2014	H1N1	2014-02-21	Homo sapiens		Finland	Europe		1752
KM437642.1	A/Finland/109/2014	H1N1	2014-02-24	Homo sapiens		Finland	Europe		1752
MF099073.1	A/swine/Chile/VN1401-4/2014	H1N2	2014-02-25	Sus scrofa domesticus		Chile	South America		1775
KM366383.1	A/Helsinki/1151/2014	H1N1	2014-02-28	Homo sapiens		Finland	Europe		1752
LC032985.1	A/Hokkaido/13H069/2014	H1N1	2014-03-05	Homo sapiens		Japan	Asia		1701
MK367071.1	A/swine/Ruegheim/19841/2014	H1N1	2014-03-06	Sus scrofa		Germany: Ruegheim	Europe		1777
LC033273.1	A/Nagasaki/13N067/2014	H1N1	2014-03-10	Homo sapiens		Japan	Asia		1701
OR873774.1	A/Kenya/CDC-Kakamega/056/2014	H1N1	2014-03-18	Homo sapiens		Kenya	Africa		1701
OR873815.1	A/Kenya/CDC-Nakuru/014/2014	H1N1	2014-03-24	Homo sapiens		Kenya	Africa		1701
PV821334.1	A/swine/England/96724/2014	H1N2	2014-03-28	Sus scrofa		United Kingdom: England	Europe		1701
OR873817.1	A/Kenya/CDC-Nakuru/016/2014	H1N1	2014-04-08	Homo sapiens		Kenya	Africa		1701
KR863437.1	A/swine/Argentina/CIP112-C40-P5/2014	H1N1	2014-04-09	Sus scrofa		Argentina: Santa Eufemia, Cordoba	South America		1713
MK367095.1	A/swine/Ascheberg/19992/2014	H1N1	2014-04-11	Sus scrofa		Germany: Ascheberg	Europe		1777
OR873819.1	A/Kenya/CDC-Nakuru/017/2014	H1N1	2014-04-15	Homo sapiens		Kenya	Africa		1701
MK246088.1	A/Saudi Arabia/134/2014	H1N1	2014-04-23	Homo sapiens		Saudi Arabia	Asia		1701
KJ941337.1	A/swine/Minnesota/A01410867/2014	H1N2	2014-05	Sus scrofa		USA: Minnesota	North America		1698
MF768699.1	A/Jeddah/7246/2014	H1N1	2014-05-18	Homo sapiens		Saudi Arabia: Jeddah	Asia		1701
OR874037.1	A/Kenya/Kilifi/151/2014	H1N1	2014-05-27	Homo sapiens		Kenya	Africa		1701
KP941715.1	A/Thailand/CU-B10174/2014	H1N1	2014-05-27	Homo sapiens		Thailand	Asia		1701
KP941716.1	A/Thailand/CU-B10180/2014	H1N1	2014-05-31	Homo sapiens		Thailand	Asia		1701
PX331728.1	A/New Zealand/14CF0272/2014	H1N1	2014-06	Homo sapiens		New Zealand	Oceania		1701
KP941721.1	A/Thailand/CU-B10185/2014	H1N1	2014-06-05	Homo sapiens		Thailand	Asia		1701
OR874038.1	A/Kenya/Kilifi/153/2014	H1N1	2014-06-19	Homo sapiens		Kenya	Africa		1701
MF098967.1	A/swine/Chile/14/2014	H1N1	2014-06-19	Sus scrofa domesticus		Chile	South America		1777
KT873323.1	A/swine/Argentina/CIP112-C59.P/2014	H1N1	2014-06-20	Sus scrofa		Argentina: Alberti, Buenos Aires	South America		1717
OR873829.1	A/Kenya/CDC-Nakuru/023/2014	H1N1	2014-06-23	Homo sapiens		Kenya	Africa		1701
PX323678.1	A/New Zealand/14CF0533/2014	H1N1	2014-07	Homo sapiens		New Zealand	Oceania		1701
PX323686.1	A/New Zealand/14CF0567/2014	H1N1	2014-07	Homo sapiens		New Zealand	Oceania		1701
PX343689.1	A/New Zealand/14CF0590/2014	H1N1	2014-07	Homo sapiens		New Zealand	Oceania		1701
PX326514.1	A/New Zealand/14CF0659/2014	H1N1	2014-07	Homo sapiens		New Zealand	Oceania		1701
PX323839.1	A/New Zealand/14HB0852/2014	H1N1	2014-07	Homo sapiens		New Zealand	Oceania		1701
PX329287.1	A/New Zealand/14HB0857/2014	H1N1	2014-07	Homo sapiens		New Zealand	Oceania		1701
PX329291.1	A/New Zealand/14HB0988/2014	H1N1	2014-07	Homo sapiens		New Zealand	Oceania		1701
OR873832.1	A/Kenya/CDC-Nakuru/026/2014	H1N1	2014-07-02	Homo sapiens		Kenya	Africa		1701
OR873946.1	A/Kenya/CDC-Nyeri/071/2014	H1N1	2014-07-02	Homo sapiens		Kenya	Africa		1701
MF099083.1	A/swine/Chile/28/2014	H1N2	2014-07-08	Sus scrofa domesticus		Chile	South America		1778
OR873833.1	A/Kenya/CDC-Nakuru/027/2014	H1N1	2014-07-09	Homo sapiens		Kenya	Africa		1701
KM402815.1	A/swine/North Carolina/A01476095/2014	H1N1	2014-07-14	Sus scrofa		USA: North Carolina	North America		1701
MF099121.1	A/swine/Chile/36/2014	H1N2	2014-07-22	Sus scrofa domesticus		Chile	South America		1778
MF099106.1	A/swine/Chile/40/2014	H1N2	2014-07-22	Sus scrofa domesticus		Chile	South America		1778
PX318714.1	A/New Zealand/14CF0995/2014	H1N1	2014-08	Homo sapiens		New Zealand	Oceania		1701
PX340308.1	A/New Zealand/14CF1076/2014	H1N1	2014-08	Homo sapiens		New Zealand	Oceania		1701
PX326576.1	A/New Zealand/14CF1131/2014	H1N1	2014-08	Homo sapiens		New Zealand	Oceania		1701
PX346406.1	A/New Zealand/14CF1301/2014	H1N1	2014-08	Homo sapiens		New Zealand	Oceania		1701
PX343853.1	A/New Zealand/14HB1207/2014	H1N1	2014-08	Homo sapiens		New Zealand	Oceania		1701
PX318835.1	A/New Zealand/14HB1339/2014	H1N1	2014-08	Homo sapiens		New Zealand	Oceania		1701
CY195279.1	A/swine/Manitoba/D0345/2014	H1N2	2014-08-06	Sus scrofa		Canada: Manitoba	North America	MDCK1 passage(s)	1729
KM675473.1	A/swine/Illinois/A01503947/2014	H1N2	2014-09-03	Sus scrofa		USA: Illinois	North America		1698
KP941733.1	A/Thailand/CU-C5169/2014	H1N1	2014-10-08	Homo sapiens		Thailand	Asia		1701
MF099158.1	A/swine/Chile/VN1401-263/2014	H1N2	2014-10-08	Sus scrofa domesticus		Chile	South America		1778
MF098908.1	A/swine/Chile/VN1401-271/2014	H1N2	2014-10-08	Sus scrofa domesticus		Chile	South America		1778
MF099019.1	A/swine/O'Higgins/VN1401-380/2014	H1N1	2014-10-17	Sus scrofa domesticus		Chile	South America		1779
MK615215.1	A/USA/VFFSP_UNITHER_00004/2014	H1N1	2014-10-20	Homo sapiens		USA	North America		1753
KT880134.1	A/Florida/62/2014	H1N1	2014-10-28	Homo sapiens		USA	North America		1701
OR873780.1	A/Kenya/CDC-Kakamega/064/2014	H1N1	2014-11-05	Homo sapiens		Kenya	Africa		1701
OR873781.1	A/Kenya/CDC-Kakamega/065/2014	H1N1	2014-11-17	Homo sapiens		Kenya	Africa		1701
MN857638.1	A/swine/Chile/VN1401-508/2014	H1N1	2014-11-24	Sus scrofa		Chile	South America		1701
MN857639.1	A/swine/Chile/VN1401-525/2014	H1N1	2014-11-24	Sus scrofa		Chile	South America		1701
MK367199.1	A/swine/Langen/20991/2014	H1N1	2014-11-24	Sus scrofa		Germany: Langen	Europe		1777
OP905488.1	A/aquatic bird/South Korea/CN76/2014	H1N2	2014-11-26	Aves		South Korea	Asia		1701
MF099276.1	A/swine/Chile/VN1401-571/2014	H1N1	2014-12-01	Sus scrofa domesticus		Chile	South America		1778
PQ192813.1	A/swine/Denmark/14-15244-1/2014	H1N1	2014-12-02	Sus scrofa		Denmark	Europe		1701
MT667143.1	A/swine/Denmark/2015_00798_2p1_Hu-L/2015	H1N2	2015-01	Sus scrofa		Denmark	Europe		1701
MF099213.1	A/swine/Rancagua/VN1401-699/2015	H1N2	2015-01-08	Sus scrofa scrofa		Chile	South America		1778
MN393816.1	A/swine/Liaoning/SY130/2015	H1N1	2015-01-16	Sus scrofa		China: Liaoning	Asia		1701
PQ193234.1	A/swine/Denmark/15-729-2/2015	H1N1	2015-01-19	Sus scrofa		Denmark	Europe		1701
KY930505.1	A/Shiraz/102/2015	H1N1	2015-01-25	Homo sapiens		Iran	Asia		1701
MH559939.1	A/swine/Brazil/028_15-1/2015	H1N2	2015-02	Sus scrofa		Brazil	South America		1778
MH559947.1	A/swine/Brazil/028_15-2/2015	H1N2	2015-02	Sus scrofa		Brazil	South America		1778
KR002691.1	A/swine/Minnesota/A01489544/2015	H1N1	2015-02-25	Sus scrofa		USA: Minnesota	North America		1701
PQ193186.1	A/swine/Denmark/15-3655-1/2015	H1N1	2015-02-27	Sus scrofa		Denmark	Europe		1701
KR012356.1	A/swine/Illinois/A01478979/2015	H1N2	2015-03-02	Sus scrofa		USA: Illinois	North America		1698
MT041117.1	A/swine/Brazil/35-15-2/2015	H1N1	2015-03-11	Sus scrofa		Brazil	South America		1781
KR065764.1	A/swine/Iowa/A01840985/2015	H1N2	2015-03-11	Sus scrofa		USA: Iowa	North America		1698
KT867220.1	A/India/DRDE_GWL897/2015	H1N1	2015-03-15	Homo sapiens		India	Asia		1701
OP678149.1	A/Bhutan/FLU-BTI-00214/2015	H1N1	2015-03-16	Homo sapiens		Bhutan	Asia		1701
OP614967.1	A/Kamphaeng Phet/FLU-KPPH-00864/2015	H1N1	2015-03-17	Homo sapiens		Thailand: Kamphaeng Phet	Asia		1701
KR088279.1	A/swine/Indiana/A01841560/2015	H1N2	2015-03-17	Sus scrofa		USA: Indiana	North America		1698
KU695612.1	A/India/Kol-T8/2015	H1N1	2015-04	Homo sapiens		India	Asia		1745
MT041149.1	A/swine/Brazil/61-15/2015	H1N1	2015-04-02	Sus scrofa		Brazil	South America		1780
OR873782.1	A/Kenya/CDC-Kakamega/066/2015	H1N1	2015-04-07	Homo sapiens		Kenya	Africa		1701
MF098937.1	A/swine/Rancagua/VN1401-914/2015	H1N2	2015-04-14	Sus scrofa scrofa		Chile	South America		1778
KT836675.1	A/Hawaii/40/2015	H1N1	2015-04-22	Homo sapiens		USA	North America		1701
KY241163.1	A/swine/France/44-150191/2015	H1N1	2015-04-28	Sus scrofa		France	Europe		1776
PQ193242.1	A/swine/Denmark/15-7570-1/2015	H1N1	2015-05-06	Sus scrofa		Denmark	Europe		1701
PQ193290.1	A/swine/Denmark/15-8648-1/2015	H1N2	2015-05-27	Sus scrofa		Denmark	Europe		1701
KT164998.1	A/swine/Illinois/A01822445/2015	H1N2	2015-05-27	Sus scrofa		USA: Illinois	North America		1698
KT198633.1	A/swine/North Carolina/A02024435/2015	H1N1	2015-05-27	Sus scrofa		USA: North Carolina	North America		1701
MT379302.1	A/swine/France/61-150219/2015	H1N2	2015-06-05	Sus scrofa		France	Europe	MDCK cells	1778
OP925978.1	A/Manila/FLU-AFPA-01688/2015	H1N1	2015-06-26	Homo sapiens		Philippines: Manila	Asia		1701
OR873716.1	A/Kenya/CDC-KNH/080/2015	H1N1	2015-07-16	Homo sapiens		Kenya	Africa		1701
OR873839.1	A/Kenya/CDC-Nakuru/034/2015	H1N1	2015-07-20	Homo sapiens		Kenya	Africa		1701
OR873717.1	A/Kenya/CDC-KNH/081/2015	H1N1	2015-07-21	Homo sapiens		Kenya	Africa		1701
MK340421.1	A/swine/Steinfeld/21926/2015	H1N2	2015-07-21	Sus scrofa		Germany: Steinfeld	Europe		1777
OR873951.1	A/Kenya/CDC-Nyeri/078/2015	H1N1	2015-07-27	Homo sapiens		Kenya	Africa		1701
OR873840.1	A/Kenya/CDC-Nakuru/037/2015	H1N1	2015-07-28	Homo sapiens		Kenya	Africa		1701
MF099336.1	A/swine/Rancagua/VN1401-1108/2015	H1N1	2015-07-30	Sus scrofa scrofa		Chile	South America		1777
PX346728.1	A/New Zealand/15HB2034/2015	H1N1	2015-08	Homo sapiens		New Zealand	Oceania		1701
OR873844.1	A/Kenya/CDC-Nakuru/042/2015	H1N1	2015-08-10	Homo sapiens		Kenya	Africa		1701
MF098900.1	A/swine/Isla de Maipo/VN1401-1212/2015	H1N1	2015-08-22	Sus scrofa scrofa		Chile	South America		1778
MT379310.1	A/swine/France/62-150308/2015	H1N1	2015-08-27	Sus scrofa		France	Europe	MDCK cells	1777
OR874035.1	A/Kenya/Kilifi/139/2015	H1N1	2015-09-01	Homo sapiens		Kenya	Africa		1701
MH997695.1	A/swine/Antioquia/3-015 embryonated SPF eggs/2015	H1N1	2015-09-11	Sus scrofa		Colombia: Antioquia	South America		1714
OR874026.1	A/Kenya/Kilifi/041/2015	H1N1	2015-09-18	Homo sapiens		Kenya	Africa		1701
PV821181.1	A/swine/England/40574/2015	H1N1	2015-09-24	Sus scrofa		United Kingdom: England	Europe		1701
MH560035.1	A/swine/Brazil/223_15-1/2015	H1N2	2015-10	Sus scrofa		Brazil	South America		1776
KX223757.1	A/Kenya/001/2015	H1N1	2015-10-03	Homo sapiens		Kenya	Africa		1777
MK246022.1	A/Saudi Arabia/15/2015	H1N1	2015-10-03	Homo sapiens		Saudi Arabia	Asia		1701
KX005106.1	A/Michigan/57/2015	H1N1	2015-10-05	Homo sapiens		USA	North America		1752
KX223760.1	A/Kenya/004/2015	H1N1	2015-10-06	Homo sapiens		Kenya	Africa		1777
MF099005.1	A/swine/El Monte/VN1401-1537/2015	H1N2	2015-10-06	Sus scrofa domesticus		Chile	South America		1777
KY644150.1	A/mallard duck/Chile/C4079/2015	H1N1	2015-10-12	Anas platyrhynchos		Chile	South America		1701
KY644186.1	A/yellow-billed teal/Chile/C4126/2015	H1N1	2015-10-12	Anas flavirostris		Chile	South America		1701
KU143616.1	A/swine/Iowa/A01795438/2015	H1N2	2015-10-13	Sus scrofa		USA: Iowa	North America		1698
KU143667.1	A/swine/North Carolina/A01945756/2015	H1N1	2015-10-20	Sus scrofa		USA: North Carolina	North America		1701
KY241108.1	A/swine/France/22-150369/2015	H1N2	2015-10-27	Sus scrofa		France	Europe		1776
MT068826.1	A/swine/Brazil/242-15-1/2015	H1N2	2015-11	Sus scrofa		Brazil	South America		1774
OQ120761.1	A/ibis/Zambia/1642/2015	H1N8	2015-11-11	Threskiornithidae		Zambia	Africa		1743
OQ120849.1	A/ibis/Zambia/1787/2015	H1N8	2015-11-11	Threskiornithidae		Zambia	Africa		1743
OQ120857.1	A/ibis/Zambia/1788/2015	H1N8	2015-11-11	Threskiornithidae		Zambia	Africa		1743
PQ193170.1	A/swine/Denmark/15-20835-1/2015	H1N1	2015-11-13	Sus scrofa		Denmark	Europe		1701
MG230344.1	A/Zanjan/0232/2015	H1N1	2015-11-18	Homo sapiens		Iran	Asia		1701
MW133735.1	A/Sentinel duck/Ukraine/AN-919-22-11/2015	H1N1	2015-11-22	Anas platyrhynchos		Ukraine	Europe		1743
KU509590.1	A/Massachusetts/30/2015	H1N1	2015-11-26	Homo sapiens		USA	North America		1701
MW846506.1	A/swine/Illinois/B1512DTW23/2015	H1N1	2015-12-03	Sus scrofa scrofa		USA	North America		1751
PQ193178.1	A/swine/Denmark/15-22393-1/2015	H1N1	2015-12-04	Sus scrofa		Denmark	Europe		1701
MN393872.1	A/swine/Liaoning/ZD71/2015	H1N1	2015-12-15	Sus scrofa		China: Liaoning	Asia		1701
KY284530.1	A/Shiraz/14/2015	H1N1	2015-12-16	Homo sapiens		Iran	Asia		1701
MK246036.1	A/Saudi Arabia/57/2015	H1N1	2015-12-19	Homo sapiens		Saudi Arabia	Asia		1701
MK246034.1	A/Saudi Arabia/40/2015	H1N1	2015-12-21	Homo sapiens		Saudi Arabia	Asia		1701
KX005130.1	A/Virginia/298/2015	H1N1	2015-12-21	Homo sapiens		USA	North America		1752
KX005801.1	A/Minnesota/57/2015	H1N1	2015-12-24	Homo sapiens		USA	North America		1752
KX214550.1	A/Sanliurfa/01/2015	H1N1	2015-12-31	Homo sapiens		Turkey	Asia		1701
MT666428.1	A/swine/Denmark/2016_15727_1p1/2016	H1N2	2016-01	Sus scrofa		Denmark	Europe		1701
MT666267.1	A/swine/Denmark/2016_390_2p1/2016	H1N1	2016-01	Sus scrofa		Denmark	Europe		1698
MT666960.1	A/swine/Denmark/2016_3920_3p1_Sw-L/2016	H1N1	2016-01	Sus scrofa		Denmark	Europe		1701
MT667190.1	A/swine/Denmark/2016_3929_1p1_Hu-L/2016	H1N1	2016-01	Sus scrofa		Denmark	Europe		1701
MG230395.1	A/Markazi/0881/2016	H1N1	2016-01-02	Homo sapiens		Iran	Asia		1701
KX088395.1	A/Ankara/13/2016	H1N1	2016-01-04	Homo sapiens		Turkey	Asia		1701
OR873954.1	A/Kenya/CDC-Nyeri/082/2016	H1N1	2016-01-04	Homo sapiens		Kenya	Africa		1701
KX406027.1	A/Florida/03/2016	H1N1	2016-01-13	Homo sapiens		USA	North America		1752
MG745920.1	A/Egypt/BSU-15/2016	H1N1	2016-01-15	Homo sapiens		Egypt	Africa		1701
MH329075.1	A/Taiwan/00226/2016	H1N1	2016-01-16	Homo sapiens		Taiwan	Asia		1701
PQ193386.1	A/swine/Denmark/16-391-1/2016	H1N1	2016-01-22	Sus scrofa		Denmark	Europe		1701
MN453862.1	A/Camelus dromedarius/Nigeria/NV1337/2016	H1N1	2016-01-23	Camelus dromedarius		Nigeria	Africa		1777
CY208177.1	A/South Korea/4944/2016	H1N1	2016-01-28	Homo sapiens		South Korea	Asia	PMK1 passage(s)	1701
CY208176.1	A/South Korea/4943/2016	H1N1	2016-01-30	Homo sapiens		South Korea	Asia	PMK1 passage(s)	1701
KX237698.1	A/Czech Republic/17/2016	H1N1	2016-02-01	Homo sapiens		Czech Republic: Prague	Europe		1743
KY364112.1	A/swine/France/01-160099/2016	H1N1	2016-02-03	Sus scrofa		France	Europe		1778
KX775399.1	A/Moscow/CRIE-282/2016	H1N1	2016-02-05	Homo sapiens		Russia	Europe		1701
MH134849.1	A/environment/Chile/C6861/2016	H1N1	2016-02-08			Chile	South America		1777
MH134813.1	A/environment/Chile/C6871/2016	H1N1	2016-02-08			Chile	South America		1777
OR949468.1	A/duck/Kaohsiung/16WB3339-41-50/2016	H1N1	2016-02-14	Anatidae		Taiwan: Kaohsiung	Asia		1777
