accession	strain	subtype	date	host	host_tax_id	location	region	passage_history	length
MF613724.1	A/ruddy turnstone/Delaware Bay/317/2016	H5N1	2016-05-24	Arenaria interpres	54971	USA	North America		1695
MF046544.2	A/Canada goose/Delaware Bay/601/2016	H5N1	2016-05-25	Branta canadensis	8853	USA	North America		1695
MG042463.1	A/duck/Bangladesh/30160/2016	H5N1	2016-05-28	Anas sp.	42806	Bangladesh	Asia		1751
KY926763.1	A/duck/Cameroon/16VIR3791-21/2016	H5N1	2016-05-30	Anatidae	8830	Cameroon	Africa		1704
MF112641.1	A/chicken/Nigeria/16VIR5840-100/2016	H5N1	2016-06-24	Gallus gallus	9031	Nigeria	Africa		1704
MH546427.1	A/duck/New York/16-021920-1/2016	H5N2	2016-07-02	Anatidae	8830	USA: Kings County, New York	North America		1743
OL371039.1	A/wild duck/Queensland/P16-10057-34/2016	H5N3	2016-07-10	Anas platyrhynchos	8839	Australia: Queensland	Oceania		1695
MN994265.1	A/environment/Bangladesh/NRL-AI-990/2016	H5N1	2016-07-12			Bangladesh: Dhaka	Asia		1704
MH546771.1	A/mallard/Washington/16-027073-22/2016	H5N2	2016-08-11	Anas platyrhynchos	8839	USA: Yakima County, Washington	North America		1742
MH546779.1	A/mallard/Washington/16-027073-45/2016	H5N2	2016-08-11	Anas platyrhynchos	8839	USA: Yakima County, Washington	North America		1758
LC342713.1	A/duck/Vietnam/QuangBinh/LBM0818/2016	H5N6	2016-08-18	Anas platyrhynchos	8839	Viet Nam:QuangBinh	Asia		1704
CY235315.1	A/mallard/Idaho/UGAI16-1964/2016	H5N9	2016-08-18	Anas platyrhynchos	8839	USA: Idaho	North America		1742
MH546141.1	A/mallard/Alaska/16-029597-2/2016	H5N2	2016-09-04	Anas platyrhynchos	8839	USA: Fairbanks North Star Borough, Alaska	North America		1766
MH546155.1	A/American green-winged teal/Alaska/16-039026-3/2016	H5N2	2016-09-05	Anas carolinensis	75836	USA: Izembek NWR, Alaska	North America		1743
MT407081.1	A/Anas platyrhynchos/Belgium/8862_H170636/2016	H5N3	2016-09-20	Anas platyrhynchos	8839	Belgium	Europe		1719
MG042277.1	A/duck/Bangladesh/30890/2016	H5N1	2016-09-27	Anas sp.	42806	Bangladesh	Asia		1751
MW097445.1	A/duck/Yunnan/9.27_DQXY003-O/2016	H5N6	2016-09-27	Anatidae	8830	China: Yunnan	Asia		1728
MH546819.1	A/northern pintail/Alaska/16-041335-10/2016	H5N2	2016-09-29	Anas acuta	28680	USA: Izembek NWR, Alaska	North America		1733
MH546851.1	A/northern pintail/Alaska/16-041335-15/2016	H5N2	2016-09-29	Anas acuta	28680	USA: Izembek NWR, Alaska	North America		1759
MH546899.1	A/northern pintail/Alaska/16-041335-7/2016	H5N2	2016-09-29	Anas acuta	28680	USA: Izembek NWR, Alaska	North America		1743
MH546875.1	A/northern pintail/Alaska/16-041335-18/2016	H5N2	2016-10-01	Anas acuta	28680	USA: Izembek NWR, Alaska	North America		1759
MH546443.1	A/emperor goose/Alaska/16-041335-20/2016	H5N2	2016-10-03	Anser canagicus	107021	USA: Izembek NWR, Alaska	North America		1731
MH546475.1	A/glaucous-winged gull/Alaska/16-041335-19/2016	H5N2	2016-10-03	Larus glaucescens	119606	USA: Izembek NWR, Alaska	North America		1759
MH546675.1	A/mallard/Nevada/16-035274-2/2016	H5N2	2016-10-08	Anas platyrhynchos	8839	USA: Lyon County, Nevada	North America		1742
MK928156.1	A/Green-Winged Teal/Nevada/D1612806/2016	H5N2	2016-10-11	Anas carolinensis	75836	USA: Nevada	North America		1767
MH546459.1	A/emperor goose/Alaska/17-004479-2/2016	H5N2	2016-10-11	Anser canagicus	107021	USA: Izembek NWR, Alaska	North America		1742
MH546595.1	A/mallard/Indiana/16-035911-3/2016	H5N2	2016-10-22	Anas platyrhynchos	8839	USA: Newton County, Indiana	North America		1743
MG042441.1	A/duck/Bangladesh/31091/2016	H5N1	2016-10-24	Anas sp.	42806	Bangladesh	Asia		1751
MG042099.1	A/duck/Bangladesh/31095/2016	H5N1	2016-10-24	Anas sp.	42806	Bangladesh	Asia		1751
OQ797542.1	A/northern pintail duck/Egypt/MB-D-727OP/2016	H5N2	2016-10-24	Anas acuta	28680	Egypt	Africa		1695
MH546699.1	A/mallard/North Dakota/16-036222-1/2016	H5N1	2016-10-26	Anas platyrhynchos	8839	USA: Ramsey County, North Dakota	North America		1743
PQ098815.1	A/Aythya fuligula/Bodensee/V0254_HA/2016	H5N1	2016-11-01	Aythya fuligula	219594	Switzerland: Bodensee	Europe		1743
OL371319.1	A/wild duck/Western Australia/AS16-3326-185/2016	H5N2	2016-11-01	Anas platyrhynchos	8839	Australia: Western Australia	Oceania		1695
OL372143.1	A/wild waterfowl/Western Australia/AS16-3326-104/2016	H5N2	2016-11-01	Anatidae	8830	Australia: Western Australia	Oceania		1695
OL372151.1	A/wild waterfowl/Western Australia/AS16-3326-115/2016	H5N2	2016-11-01	Anatidae	8830	Australia: Western Australia	Oceania		1695
OL372175.1	A/wild waterfowl/Western Australia/AS16-3326-180/2016	H5N2	2016-11-01	Anatidae	8830	Australia: Western Australia	Oceania		1695
MH988773.1	A/Mallard/Markeev/16-3-11/2016	H5N2	2016-11-03	Anas platyrhynchos	8839	Ukraine: Markeev	Europe		1726
MH988774.1	A/teal/Markeev/13-3-11/2016	H5N2	2016-11-03	Anas	8835	Ukraine: Markeev	Europe		1718
MT406921.1	A/Anas platyrhynchos/Belgium/11442_39/2016	H5N3	2016-11-04	Anas platyrhynchos	8839	Belgium	Europe		1719
MN708201.1	A/Tufted duck/Denmark/11740-LWPL/2016	H5N8	2016-11-07	Aythya fuligula	219594	Denmark	Europe		1776
MF926485.1	A/goose/Kalmykia/813/2016	H5N8	2016-11-07	Anatidae	8830	Russia	Europe		1742
MW026128.1	A/tufted duck/Denmark/17740-1p1/2016	H5N8	2016-11-07	Aythya fuligula	219594	Denmark	Europe		1737
MK859904.1	A/reverse genetic/France/RG1/2016	H5N8	2016-11-08			France	Europe		1704
PQ098792.1	A/Aythya fuligula/Bielersee/V0237_HA/2016	H5N1	2016-11-13	Aythya fuligula	219594	Switzerland: Bielersee	Europe		1776
MW026088.1	A/common gull/Denmark/18577-1/2016	H5N8	2016-11-16	Larus canus	28681	Denmark	Europe		1737
MW026112.1	A/great black-backed gull/Denmark/19069-1/2016	H5N8	2016-11-16	Larus marinus	8912	Denmark	Europe		1737
MW026120.1	A/mute swan/Denmark/19192-1/2016	H5N8	2016-11-19	Cygnus olor	8869	Denmark	Europe		1737
LC318808.1	A/whooper swan/Iwate/1/2016	H5N6	2016-11-23	Cygnus cygnus	219595	Japan: Iwate	Asia		1766
MH819856.1	A/Mulard Duck/Hungary/59163/2016	H5N8	2016-11-24	Anas	8835	Hungary	Europe		1766
MG042220.1	A/duck/Bangladesh/31297/2016	H5N1	2016-11-25	Anas platyrhynchos	8839	Bangladesh	Asia		1751
MH893739.1	A/Rails/Egypt/CA285/2016	H5N8	2016-11-26	Rallidae	9119	Egypt	Africa		1704
OQ794017.1	A/northern shoveler/Egypt/MB-D-813OP/2016	H5N8	2016-12-01	Spatula clypeata	75838	Egypt	Africa		1704
OQ793959.1	A/northern shoveler/Egypt/MB-D-816OP/2016	H5N8	2016-12-01	Spatula clypeata	75838	Egypt	Africa		1704
OQ793791.1	A/northern shoveler/Egypt/MB-D-817OP/2016	H5N8	2016-12-01	Spatula clypeata	75838	Egypt	Africa		1704
OQ797597.1	A/northern shoveler/Egypt/MB-D-819OP/2016	H5N8	2016-12-01	Spatula clypeata	75838	Egypt	Africa		1704
OQ794069.1	A/northern shoveler/Egypt/MB-D-821OP/2016	H5N8	2016-12-01	Spatula clypeata	75838	Egypt	Africa		1704
MZ564908.1	A/chicken/Hidalgo/CPA-48304-16/2016	H5N2	2016-12-05	Gallus gallus	9031	Mexico: Hidalgo	North America		1695
MK190690.1	A/chicken/Egypt/F12505C/2016	H5N1	2016-12-06	Coturnix coturnix	9091	Egypt	Africa		1760
MW107488.1	A/duck/Fujian/12.7_FZHX1219-O/2016	H5N6	2016-12-07	Anatidae	8830	China: Fujian	Asia		1701
MK828142.1	A/Mexican duck/EstadodeMexico; Lerma/HA_UIFMVZ377/2016	H5N2	2016-12-11	Anas diazi	75841	Mexico: EstadodeMexico;Lerma	North America		1726
MF040672.1	A/Anser cygnoides/Hubei/FW44/2016	H5N8	2016-12-13	Anser cygnoides	8845	China: Hubei	Asia		1704
MH988775.1	A/White-fronted Goose/AN/1-15-12/2016	H5N8	2016-12-15	Anser albifrons	50365	Ukraine: AN	Europe		1737
MZ565220.1	A/chicken/Jalisco/CPA-49950-16/2016	H5N2	2016-12-20	Gallus gallus	9031	Mexico: Jalisco	North America		1695
OP484862.1	A/purple heron/Egypt/MB 933C/2016	H5N5	2016-12-21	Ardea purpurea	188373	Egypt	Africa		1777
MF166573.1	A/great egret/Israel/1088/2016	H5N8	2016-12-25	Ardea alba	110620	Israel	Asia		1748
LC318655.1	A/grey-faced buzzard/Aomori/10/2016	H5N6	2016-12-28	Butastur indicus	335207	Japan: Aomori	Asia		1766
OQ793920.1	A/little grebe/Egypt/MB-D-1056C/2016	H5N8	2016-12-28	Tachybaptus ruficollis	100828	Egypt	Africa		1704
MT634258.1	A/Chicken/Viet Nam/AI-1606/2016	H5N6	2016-12-30	Gallus gallus	9031	Viet Nam	Asia		1704
OQ202279.1	A/chicken/Bangladesh/NRL_AI_161617/2017	H5N1	2017-01-01	Gallus gallus	9031	Bangladesh	Asia		1776
MF926477.1	A/swan/Voronezh/2/2017	H5N8	2017-01-03	Anatidae	8830	Russia	Europe		1742
KY576116.1	A/common teal/Korea/W558/2017	H5N6	2017-01-04	Anas crecca	75839	South Korea	Asia		1701
MF926469.1	A/swan/Krasnodar/44/2017	H5N8	2017-01-05	Anatidae	8830	Russia	Europe		1742
KY621534.1	A/chicken/Czech Republic/206-17_2/2017	H5N8	2017-01-06	Gallus gallus	9031	Czech Republic: Dolni Dunajovice, Jihomoravsky kraj	Europe		1742
LC486281.1	A/duck/Nha Trang/194/2017	H5N6	2017-01-07	Anas platyrhynchos	8839	Viet Nam:Khanh Hoa, Nha Trang	Asia		1742
MF926461.1	A/chicken/Chechnya/58/2017	H5N8	2017-01-08	Gallus gallus	9031	Russia	Europe		1742
MG279989.1	A/black duck/Tennessee/17OS0306/2017	H5N1	2017-01-13	Anas rubripes	75857	USA	North America		1742
MZ564916.1	A/chicken/Jalisco/CPA-00822-17/2017	H5N2	2017-01-13	Gallus gallus	9031	Mexico: Jalisco	North America		1695
MZ564924.1	A/chicken/Jalisco/CPA-00823-17/2017	H5N2	2017-01-13	Gallus gallus	9031	Mexico: Jalisco	North America		1695
MZ564772.1	A/chicken/Guanajuato/CPA-00801-17/2017	H5N2	2017-01-16	Gallus gallus	9031	Mexico: Guanajuato	North America		1695
MN994137.1	A/chicken/Bangladesh/NRL-AI-1614/2017	H5N1	2017-01-17	Gallus gallus	9031	Bangladesh: Dhaka	Asia		1704
MN994209.1	A/crow/Bangladesh/NRL-AI-1616/2017	H5N1	2017-01-17	Corvus	30420	Bangladesh: Rajshahi	Asia		1704
OR777135.1	A/Crow/Rajshahi/RAI-36/2017	H5N1	2017-01-18	Corvus	30420	Bangladesh: Rajshahi	Asia		1752
OL371295.1	A/wild duck/Victoria/17-00484-022/2017	H5N2	2017-01-24	Anas platyrhynchos	8839	Australia: Victoria	Oceania		1695
OL371303.1	A/wild duck/Victoria/17-0484-22/2017	H5N2	2017-01-24	Anas platyrhynchos	8839	Australia: Victoria	Oceania		1695
MT305336.1	A/Blue-winged teal/Mexico/HA_UIFMVZ507/2017	H5N2	2017-01-27	Spatula discors	75842	Mexico	North America		1738
MH988777.1	A/Environmental fecal/AN/2/2017	H5N8	2017-01-27			Ukraine: AN	Europe		1735
OR773001.1	A/Crow/Dhaka/DC-101/2017	H5N1	2017-01-29	Corvus	30420	Bangladesh: Dhaka	Asia		1763
MN759487.1	A/muscovy_duck/Nigeria/KN-P52-53T_18RS1971-47/2017	H5N8	2017-02	Cairina moschata	8855	Nigeria	Africa		1704
MT198989.1	A/Guinea fowl/Belgium/810/2017	H5N8	2017-02-01	Numididae	8990	Belgium	Europe		1701
MF073901.1	A/chicken/Belgium/807/2017	H5N8	2017-02-01	Gallus gallus	9031	Belgium	Europe		1739
OP888702.1	A/kelp gull/Chile/C21939/2017	H5N6	2017-02-02	Larus dominicanus	37036	Chile	South America		1767
MW026103.1	A/goose/Denmark/1365-1p1c/2017	H5N8	2017-02-06	Anatidae	8830	Denmark	Europe		1737
MF073909.1	A/peacock/Belgium/1017/2017	H5N8	2017-02-08	Pavo cristatus	9049	Belgium	Europe		1739
MH998482.1	A/chicken/Egypt/N13720A/2017	H5N8	2017-02-14	Gallus gallus	9031	Egypt	Africa		1742
OM333435.1	A/chicken/Egypt/N13731C/2017	H5N8	2017-02-14	Gallus gallus	9031	Egypt	Africa		1704
MG957528.1	A/duck/Bangladesh/31992/2017	H5N1	2017-02-15	Anas sp.	42806	Bangladesh	Asia		1745
OL370471.1	A/Pacific black duck/South Australia/17-3278836-21/2017	H5N3	2017-02-18	Anas superciliosa	45632	Australia: South Australia	Oceania		1695
OL370205.1	A/grey teal/South Australia/17-3278836-11/2017	H5N1	2017-02-18	Anas gracilis	45630	Australia: South Australia	Oceania		1695
MF073917.1	A/Cygnus olor/Belgium/1567/2017	H5N8	2017-02-21	Cygnus olor	8869	Belgium	Europe		1745
MZ564748.1	A/chicken/Colima/CPA-04929-17/2017	H5N2	2017-02-24	Gallus gallus	9031	Mexico: Colima	North America		1695
MZ565380.1	A/chicken/Queretaro/CPA-05386-17/2017	H5N2	2017-02-24	Gallus gallus	9031	Mexico: Queretaro	North America		1695
OQ797653.1	A/common teal/Egypt/MB-F-1199C/2017	H5N8	2017-02-25	Anas crecca	75839	Egypt	Africa		1704
MH998389.1	A/chicken/Egypt/H13791C/2017	H5N8	2017-02-26	Gallus gallus	9031	Egypt	Africa		1742
MH998399.1	A/chicken/Egypt/H13793E/2017	H5N8	2017-02-26	Gallus gallus	9031	Egypt	Africa		1742
OM333353.1	A/chicken/Egypt/H13794D/2017	H5N8	2017-02-26	Gallus gallus	9031	Egypt	Africa		1704
MH998498.1	A/chicken/Egypt/H13796A/2017	H5N8	2017-02-26	Gallus gallus	9031	Egypt	Africa		1742
MH107207.1	A/Anas platyrhynchos/Belgium/1899/2017	H5N8	2017-02-27	Anas platyrhynchos	8839	Belgium	Europe		1745
MW333822.1	A/chicken/Yunlin/17020095-2/2017	H5N2	2017-02-27	Gallus gallus	9031	Taiwan: Yunlin	Asia		1776
MF926453.1	A/chicken/Moscow/94/2017	H5N8	2017-02-28	Gallus gallus	9031	Russia	Europe		1742
MK389385.1	A/Avian/Viet Nam/Egg/2017	H5N1	2017-03	Aves	8782	Viet Nam	Asia		1704
MZ565036.1	A/chicken/Jalisco/CPA-06116-17/2017	H5N2	2017-03-01	Gallus gallus	9031	Mexico: Jalisco	North America		1695
MK494923.1	A/goose/Spain/IA17CR02699/2017	H5N8	2017-03-02	Anser sp.	8847	Spain	Europe		1746
MW026080.1	A/common buzzard/Denmark/3794-1p1/2017	H5N8	2017-03-03	Buteo buteo	30397	Denmark	Europe		1737
MZ565388.1	A/chicken/Queretaro/CPA-06507-17/2017	H5N2	2017-03-06	Gallus gallus	9031	Mexico: Queretaro	North America		1695
MH498571.1	A/chicken/Egypt/B13825A/2017	H5N1	2017-03-07	Gallus gallus	9031	Egypt	Africa		1743
OM350186.1	A/chicken/Egypt/F13829B/2017	H5N8	2017-03-07	Gallus gallus	9031	Egypt	Africa		1704
OM333295.1	A/chicken/Egypt/Q13845A/2017	H5N8	2017-03-15	Gallus gallus	9031	Egypt	Africa		1704
OL370519.1	A/Pacific black duck/Victoria/17-0997-22/2017	H5N1	2017-03-18	Anas superciliosa	45632	Australia: Victoria	Oceania		1695
OL370639.1	A/grey teal/Victoria/17-0997-462/2017	H5N3	2017-03-18	Anas gracilis	45630	Australia: Victoria	Oceania		1695
MH107215.1	A/Cygnus olor/Belgium/2967/2017	H5N8	2017-03-21	Cygnus olor	8869	Belgium	Europe		1744
MH107223.1	A/Buteo buteo/Belgium/3022/2017	H5N8	2017-03-23	Buteo buteo	30397	Belgium	Europe		1746
MW026072.1	A/common buzzard/Denmark/4079-1p1/2017	H5N8	2017-03-23	Buteo buteo	30397	Denmark	Europe		1737
MK163970.1	A/mallard duck/Chile/C23961/2017	H5N3	2017-03-28	Anas platyrhynchos	8839	Chile	South America		1695
MK163984.1	A/yellow-billed teal/Chile/C24042/2017	H5N3	2017-03-28	Anas flavirostris	75845	Chile	South America		1695
MG192004.1	A/chicken/Egypt/173CAL/2017	H5N1	2017-04	Gallus gallus	9031	Egypt	Africa		1710
MZ564852.1	A/chicken/Guanajuato/CPA-12461-17/2017	H5N2	2017-04-18	Gallus gallus	9031	Mexico: Guanajuato	North America		1695
MK167355.1	A/white-backed stilt/Chile/C24619/2017	H5N9	2017-04-18	Himantopus melanurus	507595	Chile	South America		1695
MH347216.1	A/environment/Chiloe/P07/2017	H5N9	2017-05-01			Chile	South America		1767
MH068142.1	A/environment/Georgia/UGAI17-2179/2017	H5N2	2017-05-08			USA: Georgia	North America		1743
MH068215.1	A/environment/South Carolina/UGAI17-2223/2017	H5N2	2017-05-10			USA: South Carolina	North America		1743
MH068042.1	A/environment/South Carolina/UGAI17-2332/2017	H5N2	2017-05-10			USA: South Carolina	North America		1743
MH068255.1	A/environment/South Carolina/UGAI17-2360/2017	H5N2	2017-05-10			USA: South Carolina	North America		1743
MH068295.1	A/environment/South Carolina/UGAI17-2484/2017	H5N2	2017-05-11			USA: South Carolina	North America		1743
MH068423.1	A/ruddy turnstone/New Jersey/UGAI17-2072/2017	H5N2	2017-05-13	Arenaria interpres	54971	USA: New Jersey	North America		1743
MK636774.1	A/Muscovy duck/Democratic Republic of the Congo/TCH6_HA/2017	H5N8	2017-05-15	Cairina moschata	8855	Democratic Republic of the Congo	Africa		1760
MH068183.1	A/environment/New Jersey/UGAI17-2575/2017	H5N2	2017-05-18			USA: New Jersey	North America		1743
MH068455.1	A/ruddy turnstone/New Jersey/UGAI17-2667/2017	H5N2	2017-05-19	Arenaria interpres	54971	USA: New Jersey	North America		1743
MH068551.1	A/ruddy turnstone/New Jersey/UGAI17-2783/2017	H5N7	2017-05-22	Arenaria interpres	54971	USA: New Jersey	North America		1743
MZ564868.1	A/chicken/Guanajuato/CPA-17726-17/2017	H5N2	2017-05-25	Gallus gallus	9031	Mexico: Guanajuato	North America		1695
MZ564740.1	A/chicken/Coahuila/CPA-17850-17/2017	H5N2	2017-06-01	Gallus gallus	9031	Mexico: Coahuila	North America		1695
MH998474.1	A/duck/Egypt/N14200B/2017	H5N8	2017-06-09	Anas sp.	42806	Egypt	Africa		1742
MF425637.1	A/chicken/Belgium/5990/2017	H5N8	2017-06-10	Gallus gallus	9031	Belgium	Europe		1704
OL371375.1	A/wild waterbird/Queensland/P17-14428-30/2017	H5N1	2017-06-12			Australia: Queensland	Oceania		1695
MH107199.1	A/Guinea fowl/Belgium/6102/2017	H5N8	2017-06-14	Numididae	8990	Belgium	Europe		1744
PP502509.1	A/rosy-billed pochard/Argentina/CIP112-3449/2017	H5N3	2017-06-14	Netta peposaca	541013	Argentina	South America		1695
MF425636.1	A/Brahma chicken/Belgium/6153/2017	H5N8	2017-06-15	Gallus gallus	9031	Belgium	Europe		1704
MH165540.1	A/chicken/South Africa/436893/2017	H5N8	2017-07-06	Gallus gallus	9031	South Africa	Africa		1704
MN453564.1	A/chicken/Xhathom District/NL-1942880/2017	H5N1	2017-07-11	Gallus gallus	9031	Laos: Xaisomboun Province, Xhathom District	Asia		1743
MH251194.1	A/mallard/California/UCD1199/2017	H5N2	2017-07-25	Anas platyrhynchos	8839	USA	North America		1767
MH251211.1	A/mallard/California/UCD1296/2017	H5N2	2017-07-29	Anas platyrhynchos	8839	USA	North America		1767
MH165556.1	A/chicken/South Africa/440638A/2017	H5N8	2017-08-01	Gallus gallus	9031	South Africa	Africa		1704
MH165596.1	A/ostrich/South Africa/17080046/2017	H5N8	2017-08-09	Struthio camelus	8801	South Africa	Africa		1704
MH135626.1	A/chicken/Bangladesh/33395/2017	H5N1	2017-08-17	Gallus gallus	9031	Bangladesh	Asia		1713
MH165652.1	A/dove/South Africa/17080324/2017	H5N8	2017-08-18	Columbidae	8930	South Africa	Africa		1704
MH165668.1	A/Pekin duck/South Africa/17080340/2017	H5N8	2017-08-22	Anas platyrhynchos	8839	South Africa	Africa		1704
MN759481.1	A/duck/Nigeria/KNSB-20-23T_18RS1971-39/2017	H5N8	2017-09	Anatidae	8830	Nigeria	Africa		1704
MH165708.1	A/Domestic goose/South Africa/17090065/2017	H5N8	2017-09-04	Anser	8842	South Africa	Africa		1704
MH165724.1	A/chicken/South Africa/17090100/2017	H5N8	2017-09-06	Gallus gallus	9031	South Africa	Africa		1704
MH165836.1	A/chicken/South Africa/17090108/2017	H5N8	2017-09-06	Gallus gallus	9031	South Africa	Africa		1704
MK046895.1	A/Turkey/Bangladesh/TK3/2017	H5N1	2017-09-13	Meleagris gallopavo	9103	Bangladesh	Asia		1701
MH165780.1	A/chicken/South Africa/449443/2017	H5N8	2017-09-18	Gallus gallus	9031	South Africa	Africa		1704
OL370254.1	A/wild waterfowl/New South Wales/M17-17862-99/2017	H5N3	2017-10-12	Anatidae	8830	Australia: New South Wales	Oceania		1695
MH135442.1	A/duck/Bangladesh/33848/2017	H5N1	2017-10-19	Anas sp.	42806	Bangladesh	Asia		1751
MK237194.1	A/mallard/Ohio/17OS3812/2017	H5N2	2017-10-25	Anas platyrhynchos	8839	USA	North America		1743
OQ547089.1	A/duck/Vietnam/QN4220/2017	H5N1	2017-10-26	Anas sp.	42806	Viet Nam	Asia		1704
MW109328.1	A/environment/Fujian/10.26_FZHX0002-E/2017	H5N6	2017-10-26			China: Fujian	Asia		1701
MW026096.1	A/duck/Denmark/19062-5Sp1c/2017	H5N8	2017-11-19	Anatidae	8830	Denmark	Europe		1737
MW107400.1	A/duck/Fujian/11.23_FZHX0015-C/2017	H5N6	2017-11-23	Anatidae	8830	China: Fujian	Asia		1704
LC503265.1	A/duck/Japan/AQ-HE29-79/2017(H5N1)	H5N1	2017-11-28	Cairina moschata	8855	Japan	Asia		1758
MN687531.1	A/ostrich/Saudi Arabia/KFU-HKU3593_2017/2017	H5N8	2017-12	Struthio camelus	8801	Saudi Arabia	Asia		1748
MN687539.1	A/ostrich/Saudi Arabia/KFU-HKU3594_2017/2017	H5N8	2017-12	Struthio camelus	8801	Saudi Arabia	Asia		1748
OR772961.1	A/Crow/Dhaka/BDADC-270/2017	H5N1	2017-12-06	Corvus	30420	Bangladesh: Dhaka	Asia		1758
MN046358.1	A/chicken/Myanmar/OP-12/2017	H5N1	2017-12-17	Gallus gallus	9031	Myanmar	Asia		1695
MK046067.1	A/chicken/Bangladesh/C6/2017	H5N1	2017-12-25	Gallus gallus	9031	Bangladesh	Asia		1701
MW107824.1	A/duck/Hainan/12.29_HKPL002-C/2017	H5N6	2017-12-29	Anatidae	8830	China: Hainan	Asia		1757
MW193074.1	A/chicken/Egypt/ME-2018/2018	H5N8	2018-01-01	Gallus gallus	9031	Egypt	Africa		1695
MK734297.1	A/Swift tern/South Africa/18010027/2018	H5N8	2018-01-03			South Africa	Africa		1704
MZ564764.1	A/chicken/Guanajuato/CPA-00114-18/2018	H5N2	2018-01-03	Gallus gallus	9031	Mexico: Guanajuato	North America		1695
OR772966.1	A/Crow/Dhaka/BDADC-310/2018	H5N1	2018-01-07	Corvus	30420	Bangladesh: Dhaka	Asia		1758
MN171450.1	A/duck/Jiangsu/SE0261/2018	H5N3	2018-01-09	Anatidae	8830	China: Jiangsu	Asia		1695
MN038194.1	A/chicken/Egypt/F15099/2018	H5N8	2018-01-14	Gallus gallus	9031	Egypt	Africa		1704
OL354917.1	A/duck/Egypt/F15092/2018	H5N8	2018-01-14	Anas sp.	42806	Egypt	Africa		1777
OL354942.1	A/chicken/Egypt/A15044/2018	H5N8	2018-01-15	Gallus gallus	9031	Egypt	Africa		1777
MH791817.1	A/duck/Bangladesh/34752/2018	H5N1	2018-01-24	Anas platyrhynchos	8839	Bangladesh	Asia		1751
MK236649.1	A/American green-winged teal/Tennessee/18OS0447/2018	H5N2	2018-01-26	Anas carolinensis	75836	USA	North America		1743
MZ565284.1	A/chicken/Puebla/CPA-01572-18/2018	H5N2	2018-01-28	Gallus gallus	9031	Mexico: Puebla	North America		1695
MW333982.1	A/chicken/Yunlin/18010024-2/2018	H5N2	2018-01-28	Gallus gallus	9031	Taiwan: Yunlin	Asia		1776
OR772969.1	A/Crow/Dhaka/BDADC-324/2018	H5N1	2018-02-03	Corvus	30420	Bangladesh: Dhaka	Asia		1758
OM333380.1	A/chicken/Egypt/N15172D/2018	H5N8	2018-02-05	Gallus gallus	9031	Egypt	Africa		1777
OL354558.1	A/chicken/Egypt/N15173C/2018	H5N8	2018-02-05	Gallus gallus	9031	Egypt	Africa		1777
OL354542.1	A/chicken/Egypt/N15174A/2018	H5N8	2018-02-05	Gallus gallus	9031	Egypt	Africa		1777
OL354842.1	A/chicken/Egypt/N15175B/2018	H5N8	2018-02-05	Gallus gallus	9031	Egypt	Africa		1777
OL354457.1	A/chicken/Egypt/N15175C/2018	H5N8	2018-02-05	Gallus gallus	9031	Egypt	Africa		1777
OL354622.1	A/chicken/Egypt/N15176B/2018	H5N8	2018-02-05	Gallus gallus	9031	Egypt	Africa		1777
OL354757.1	A/chicken/Egypt/N15177C/2018	H5N8	2018-02-05	Gallus gallus	9031	Egypt	Africa		1777
OL354614.1	A/chicken/Egypt/N15178A/2018	H5N8	2018-02-05	Gallus gallus	9031	Egypt	Africa		1777
OL354606.1	A/chicken/Egypt/N15178C/2018	H5N8	2018-02-05	Gallus gallus	9031	Egypt	Africa		1777
MW108384.1	A/duck/Hunan/2.06_YYGK92J3-OC/2018	H5N6	2018-02-06	Anatidae	8830	China: Hunan	Asia		1745
MK995809.1	A/Mallard/Utah/D1801802/2018	H5N2	2018-02-08	Anas platyrhynchos	8839	USA: Utah	North America		1767
MT781554.2	A/white-tailed eagle/Denmark/4227-1/2018	H5N6	2018-02-09	Haliaeetus albicilla	8969	Denmark	Europe		1704
MT781602.2	A/white-tailed eagle/Denmark/5921-1/2018	H5N6	2018-02-12	Haliaeetus albicilla	8969	Denmark	Europe		1704
MT781546.2	A/white-tailed eagle/Denmark/3073-1/2018	H5N6	2018-02-13	Haliaeetus albicilla	8969	Denmark	Europe		1704
MW334022.1	A/chicken/Yunlin/18020021-1/2018	H5N2	2018-02-27	Gallus gallus	9031	Taiwan: Yunlin	Asia		1776
MK734295.1	A/African penguin/South Africa/476266/2018	H5N8	2018-03-01	Spheniscus demersus	92683	South Africa	Africa		1704
MT781570.2	A/white-tailed eagle/Denmark/4241-1/2018	H5N6	2018-03-14	Haliaeetus albicilla	8969	Denmark	Europe		1704
MW097755.1	A/goose/Fujian/3.15_FZHX0006-O/2018	H5N6	2018-03-15	Anatidae	8830	China: Fujian	Asia		1755
MT781562.2	A/white-tailed eagle/Denmark/4240-1/2018	H5N6	2018-03-16	Haliaeetus albicilla	8969	Denmark	Europe		1704
MT781482.2	A/black-headed gull/Denmark/4663-1/2018	H5N6	2018-03-26	Chroicocephalus ridibundus	1192867	Denmark	Europe		1704
MT781519.2	A/mute swan/Denmark/4905-1/2018	H5N6	2018-03-27	Cygnus olor	8869	Denmark	Europe		1704
MT781586.2	A/white-tailed eagle/Denmark/4897-1/2018	H5N6	2018-04-02	Haliaeetus albicilla	8969	Denmark	Europe		1704
